"slug","name.en","name.he","roles.he","sex.en","sex.he","is_current","party","img_url"
"edri_yaakov","Edri Yaakov","יעקב אדרי","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/edri_yaakov-s.jpg"
"Yaakov_Katzeleh_Katz","Yaakov Katzeleh Katz","יעקב (כצל`ה) כ”ץ","יו""ר ועדה מיוחדת לבעיית העובדים הזרים","Male","זכר",TRUE,"haichud_haleumi","http://www.knesset.gov.il/mk/images/members/Yaakov_Katzeleh_Katz-s.jpg"
"lizman_yaakov","Lizman Yaakov","יעקב ליצמן","סגן שר הבריאות","Male","זכר",TRUE,"yehadut_hatora","http://www.knesset.gov.il/mk/images/members/lizman_yaakov-s.jpg"
"margi_yaakov","Margi Yaakov","יעקב מרגי","שר לשירותי דת","Male","זכר",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/margi_yaakov-s.jpg"
"aharonovitch_yitzhak","Aharonovitch Yitzhak","יצחק אהרונוביץ","שר לביטחון פנים","Male","זכר",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/aharonovitch_yitzhak-s.jpg"
"herzog_yitzhak","Herzog Yitzhak","יצחק הרצוג","חבר כנסת באופוזיציה","Male","זכר",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/herzog_yitzhak-s.jpg"
"vaknin_yizhak","Vaknin Yizhak","יצחק וקנין","חבר כנסת בקואליציה","Male","זכר",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/vaknin_yizhak-s.jpg"
"cohen_yitzhak","Cohen Yitzhak","יצחק כהן","סגן שר האוצר","Male","זכר",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/cohen_yitzhak-s.jpg"
"levin_yariv","Levin Yariv","יריב לוין","יו""ר ועדת הכנסת","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/levin_yariv-s.jpg"
"eichler_israel","Eichler Israel","ישראל אייכלר","חבר כנסת בקואליציה","Female","נקבה",TRUE,"yehadut_hatora","http://www.knesset.gov.il/mk/images/members/eichler_israel-s.jpg"
"hasson_israel","Hasson Israel","ישראל חסון","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/hasson_israel-s.jpg"
"katz_yisrael","Katz Yisrael","ישראל כץ","שר התחבורה והבטיחות בדרכים","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/katz_yisrael-s.jpg"
"Shama_Carmel","Shama Carmel","כרמל שאמה","יו""ר ועדת הכלכלה","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/Shama_Carmel-s.jpg"
"nass_lea","Nass Lea","לאה נס","סגנית שר לענייני גמלאים","Female","נקבה",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/nass_lea-s.jpg"
"shemtov_lia","Shemtov Lia","ליה שמטוב","חברת כנסת בקואליציה","Female","נקבה",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/shemtov_lia-s.jpg"
"livnat_limor","Livnat Limor","לימור לבנת","שרת התרבות והספורט","Female","נקבה",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/livnat_limor-s.jpg"
"porush_meir","Porush Meir","מאיר פרוש","חבר כנסת לשעבר","Male","זכר",FALSE,"yehadut_hatora","http://www.knesset.gov.il/mk/images/members/porush_meir-s.jpg"
"shitrit_meir","Shitrit Meir","מאיר שטרית","יו""ר ועדת  המדע  והטכנולוגיה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/shitrit_meir-s.jpg"
"whbee_majalli","Whbee Majalli","מגלי והבה","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/whbee_majalli-s.jpg"
"baraka_mohamed","Baraka Mohamed","מוחמד ברכה","חבר כנסת באופוזיציה","Male","זכר",TRUE,"hadash","http://www.knesset.gov.il/mk/images/members/baraka_mohamed-s.jpg"
"eitan_michael","Eitan Michael","מיכאל איתן","שר המופקד על שיפור השירות הממשלתי לציבור","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/eitan_michael-s.jpg"
"Ben_Ari_Michael","Ben Ari Michael","מיכאל בן-ארי","חבר כנסת באופוזיציה","Male","זכר",TRUE,"haichud_haleumi","http://www.knesset.gov.il/mk/images/members/Ben_Ari_Michael-s.jpg"
"regev_miri","Regev Miri","מירי רגב","חברת כנסת בקואליציה","Female","נקבה",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/regev_miri-s.jpg"
"moses_menachem","Moses Menachem","מנחם אליעזר מוזס","סגן שר החינוך","Male","זכר",TRUE,"yehadut_hatora","http://www.knesset.gov.il/mk/images/members/moses_menachem-s.jpg"
"Ganaim_Masud","Ganaim Masud","מסעוד גנאים","חבר כנסת באופוזיציה","Male","זכר",TRUE,"raam_taal","http://www.knesset.gov.il/mk/images/members/Ganaim_Masud-s.jpg"
"solodkin_marina","Solodkin Marina","מרינה סולודקין","חברת כנסת באופוזיציה","Female","נקבה",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/solodkin_marina-s.jpg"
"gafni_moshe","Gafni Moshe","משה גפני","יו""ר ועדת הכספים","Male","זכר",TRUE,"yehadut_hatora","http://www.knesset.gov.il/mk/images/members/gafni_moshe-s.jpg"
