"slug","name.en","name.he","roles.he","sex.en","sex.he","is_current","party","img_url"
"orlev_zevulun","Orlev Zevulun","?????? ?????","??""? ???? ??????? ????","Male","???",TRUE,"habait_hayehudi","http://www.knesset.gov.il/mk/images/members/orlev_zevulun-s.jpg"
"oron_chaim","Oron Chaim","???? ?????","??? ???? ??????????","Male","???",TRUE,"meretz","http://www.knesset.gov.il/mk/images/members/oron_chaim-s.jpg"
"amsalem_haim","Amsalem Haim","???? ?????","??? ???? ?????????","Male","???",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/amsalem_haim-s.jpg"
"katz_haim","Katz Haim","???? ??","??""? ???? ??????, ?????? ????????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/katz_haim-s.jpg"
"ramon_haim","Ramon Haim","???? ????","??? ???? ?????","Male","???",FALSE,"kadima","http://www.knesset.gov.il/mk/images/members/ramon_haim-s.jpg"
"Amar_Hamad","Amar Hamad","??? ????","??? ???? ?????????","Male","???",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/Amar_Hamad-s.jpg"
"swaid_hana","Swaid Hana","??? ?????","??? ???? ??????????","Male","???",TRUE,"hadash","http://www.knesset.gov.il/mk/images/members/swaid_hana-s.jpg"
"Zuabi_Hanin","Zuabi Hanin","???? ?????","???? ???? ??????????","Female","????",TRUE,"balad","http://www.knesset.gov.il/mk/images/members/Zuabi_Hanin-s.jpg"
"elsana_taleb","Elsana Taleb","??? ??????","??""? ???? ?????? ????? ???? ?????","Male","???",TRUE,"raam_taal","http://www.knesset.gov.il/mk/images/members/elsana_taleb-s.jpg"
"hasson_yoel","Hasson Yoel","???? ????","??""? ???? ??????? ?????? ??????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/hasson_yoel-s.jpg"
"steinitz_yuval","Steinitz Yuval","???? ???????","?? ?????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/steinitz_yuval-s.jpg"
